window_start,site,Chem,conc
1988-01-05,b1,k_mgl,0.7875
1988-01-05,b1,mg_mgl,2.188125
1988-01-05,b1,no3,154.375
1988-01-05,b1,Ca,3.449375
1988-01-05,b1,NH4,27.375
1988-03-08,b1,k_mgl,0.9238888888888889
1988-03-08,b1,mg_mgl,1.9616666666666667
1988-03-08,b1,no3,203.88888888888889
1988-03-08,b1,Ca,3.085
1988-03-08,b1,NH4,24.055555555555557
1988-05-10,b1,k_mgl,0.8811111111111111
1988-05-10,b1,mg_mgl,2.0336363636363637
1988-05-10,b1,no3,157.5
1988-05-10,b1,Ca,2.9850000000000003
1988-05-10,b1,NH4,90.625
1988-07-12,b1,k_mgl,0.7628571428571429
1988-07-12,b1,mg_mgl,1.9221428571428572
1988-07-12,b1,no3,79.125
1988-07-12,b1,Ca,2.545
1988-07-12,b1,NH4,15.5
1988-09-13,b1,k_mgl,0.8144444444444444
1988-09-13,b1,mg_mgl,2.4655555555555555
1988-09-13,b1,no3,139.5
1988-09-13,b1,Ca,3.7266666666666666
1988-09-13,b1,NH4,50.25
1988-11-15,b1,k_mgl,0.859
1988-11-15,b1,mg_mgl,2.408
1988-11-15,b1,no3,137.66666666666666
1988-11-15,b1,Ca,4.182222222222222
1988-11-15,b1,NH4,NA
1989-01-17,b1,k_mgl,0.897
1989-01-17,b1,mg_mgl,2.793
1989-01-17,b1,no3,131.9
1989-01-17,b1,Ca,4.269
1989-01-17,b1,NH4,NA
1989-03-21,b1,k_mgl,0.855
1989-03-21,b1,mg_mgl,2.754
1989-03-21,b1,no3,141.9
1989-03-21,b1,Ca,4.481
1989-03-21,b1,NH4,NA
1989-05-23,b1,k_mgl,0.9477777777777777
1989-05-23,b1,mg_mgl,2.901111111111111
1989-05-23,b1,no3,123
1989-05-23,b1,Ca,4.5344444444444445
1989-05-23,b1,NH4,NA
1989-07-25,b1,k_mgl,0.990909090909091
1989-07-25,b1,mg_mgl,2.638181818181818
1989-07-25,b1,no3,88.375
1989-07-25,b1,Ca,4.019090909090909
1989-07-25,b1,NH4,NA
1989-09-26,b1,k_mgl,1.2907692307692307
1989-09-26,b1,mg_mgl,3.03
1989-09-26,b1,no3,386.875
1989-09-26,b1,Ca,4.336666666666667
1989-09-26,b1,NH4,NA
1989-11-28,b1,k_mgl,1.134
1989-11-28,b1,mg_mgl,3.231
1989-11-28,b1,no3,89.88888888888889
1989-11-28,b1,Ca,5.872
1989-11-28,b1,NH4,NA
1990-01-30,b1,k_mgl,1.214
1990-01-30,b1,mg_mgl,3.176
1990-01-30,b1,no3,211.375
1990-01-30,b1,Ca,5.545999999999999
1990-01-30,b1,NH4,NA
1990-04-03,b1,k_mgl,1.3493333333333333
1990-04-03,b1,mg_mgl,2.5846666666666667
1990-04-03,b1,no3,418.85714285714283
1990-04-03,b1,Ca,4.375333333333334
1990-04-03,b1,NH4,NA
1990-06-05,b1,k_mgl,1.129
1990-06-05,b1,mg_mgl,3.275
1990-06-05,b1,no3,134.3
1990-06-05,b1,Ca,5.583
1990-06-05,b1,NH4,NA
1990-08-07,b1,k_mgl,0.894
1990-08-07,b1,mg_mgl,3.25
1990-08-07,b1,no3,76.14285714285714
1990-08-07,b1,Ca,5.822
1990-08-07,b1,NH4,NA
1990-10-09,b1,k_mgl,0.9863636363636363
1990-10-09,b1,mg_mgl,2.87
1990-10-09,b1,no3,99.27272727272728
1990-10-09,b1,Ca,4.701818181818182
1990-10-09,b1,NH4,NA
1990-12-11,b1,k_mgl,0.9663636363636364
1990-12-11,b1,mg_mgl,3.040909090909091
1990-12-11,b1,no3,141.22222222222223
1990-12-11,b1,Ca,5.3963636363636365
1990-12-11,b1,NH4,NA
1991-02-12,b1,k_mgl,0.8210000000000001
1991-02-12,b1,mg_mgl,3.145
1991-02-12,b1,no3,65.9
1991-02-12,b1,Ca,5.656
1991-02-12,b1,NH4,NA
1991-04-16,b1,k_mgl,0.92
1991-04-16,b1,mg_mgl,2.9539999999999997
1991-04-16,b1,no3,47.33333333333333
1991-04-16,b1,Ca,5.187
1991-04-16,b1,NH4,NA
1991-06-18,b1,k_mgl,0.767
1991-06-18,b1,mg_mgl,3.4699999999999998
1991-06-18,b1,no3,30.5
1991-06-18,b1,Ca,5.767
1991-06-18,b1,NH4,NA
1991-08-20,b1,k_mgl,1.1309090909090909
1991-08-20,b1,mg_mgl,3.6227272727272726
1991-08-20,b1,no3,64.45454545454545
1991-08-20,b1,Ca,5.783636363636363
1991-08-20,b1,NH4,NA
1991-10-22,b1,k_mgl,1.1407692307692308
1991-10-22,b1,mg_mgl,2.716153846153846
1991-10-22,b1,no3,121.6923076923077
1991-10-22,b1,Ca,4.274615384615385
1991-10-22,b1,NH4,NA
1991-12-24,b1,k_mgl,1.215
1991-12-24,b1,mg_mgl,3.043
1991-12-24,b1,no3,181.66666666666666
1991-12-24,b1,Ca,5.0489999999999995
1991-12-24,b1,NH4,NA
1992-02-25,b1,k_mgl,1.044
1992-02-25,b1,mg_mgl,3.458
1992-02-25,b1,no3,74.22222222222223
1992-02-25,b1,Ca,6.102
1992-02-25,b1,NH4,NA
1992-04-28,b1,k_mgl,1.043
1992-04-28,b1,mg_mgl,2.658
1992-04-28,b1,no3,54.22222222222222
1992-04-28,b1,Ca,4.422
1992-04-28,b1,NH4,NA
1992-06-30,b1,k_mgl,1.1320000000000001
1992-06-30,b1,mg_mgl,3.298
1992-06-30,b1,no3,126.11111111111111
1992-06-30,b1,Ca,5.697
1992-06-30,b1,NH4,NA
1992-09-01,b1,k_mgl,1.063
1992-09-01,b1,mg_mgl,3.474
1992-09-01,b1,no3,60.5
1992-09-01,b1,Ca,6.127
1992-09-01,b1,NH4,NA
1992-11-03,b1,k_mgl,1.01
1992-11-03,b1,mg_mgl,2.6710000000000003
1992-11-03,b1,no3,33
1992-11-03,b1,Ca,4.8
1992-11-03,b1,NH4,NA
1993-01-05,b1,k_mgl,1.131
1993-01-05,b1,mg_mgl,3.2439999999999998
1993-01-05,b1,no3,107
1993-01-05,b1,Ca,5.162
1993-01-05,b1,NH4,NA
1993-03-09,b1,k_mgl,1.165
1993-03-09,b1,mg_mgl,3.572
1993-03-09,b1,no3,124.6
1993-03-09,b1,Ca,5.617
1993-03-09,b1,NH4,NA
1993-05-11,b1,k_mgl,1.1480000000000001
1993-05-11,b1,mg_mgl,3.211
1993-05-11,b1,no3,28.333333333333332
1993-05-11,b1,Ca,5.574
1993-05-11,b1,NH4,NA
1993-07-13,b1,k_mgl,1.052
1993-07-13,b1,mg_mgl,3.178
1993-07-13,b1,no3,38.66666666666667
1993-07-13,b1,Ca,5.7219999999999995
1993-07-13,b1,NH4,NA
1993-09-14,b1,k_mgl,1.159
1993-09-14,b1,mg_mgl,3.2720000000000002
1993-09-14,b1,no3,26.100000000000005
1993-09-14,b1,Ca,5.811
1993-09-14,b1,NH4,NA
1993-11-16,b1,k_mgl,1.147
1993-11-16,b1,mg_mgl,3.01
1993-11-16,b1,no3,22.166666666666668
1993-11-16,b1,Ca,5.631
1993-11-16,b1,NH4,NA
1994-01-18,b1,k_mgl,1.012
1994-01-18,b1,mg_mgl,3.003
1994-01-18,b1,no3,13.5
1994-01-18,b1,Ca,5.396
1994-01-18,b1,NH4,NA
1994-03-22,b1,k_mgl,1.06
1994-03-22,b1,mg_mgl,3.357
1994-03-22,b1,no3,58.857142857142854
1994-03-22,b1,Ca,6.188
1994-03-22,b1,NH4,NA
1994-05-24,b1,k_mgl,1.1954545454545453
1994-05-24,b1,mg_mgl,3.81
1994-05-24,b1,no3,51.22222222222222
1994-05-24,b1,Ca,6.734545454545454
1994-05-24,b1,NH4,NA
1994-07-26,b1,k_mgl,1.202
1994-07-26,b1,mg_mgl,3.398
1994-07-26,b1,no3,NA
1994-07-26,b1,Ca,6.059
1994-07-26,b1,NH4,NA
1994-09-27,b1,k_mgl,1.109
1994-09-27,b1,mg_mgl,3.167
1994-09-27,b1,no3,NA
1994-09-27,b1,Ca,5.869
1994-09-27,b1,NH4,NA
1994-11-29,b1,k_mgl,NA
1994-11-29,b1,mg_mgl,NA
1994-11-29,b1,no3,NA
1994-11-29,b1,Ca,NA
1994-11-29,b1,NH4,NA
1988-01-05,b2,k_mgl,0.858421052631579
1988-01-05,b2,mg_mgl,2.1336842105263156
1988-01-05,b2,no3,237.41176470588235
1988-01-05,b2,Ca,4.441578947368421
1988-01-05,b2,NH4,18.94736842105263
1988-03-08,b2,k_mgl,0.8263636363636364
1988-03-08,b2,mg_mgl,2.2190909090909092
1988-03-08,b2,no3,209.8181818181818
